,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec,11-Dec
Total,229.53,212.66,218.51,212.58,200.84,206.66,217.75,205.98
4261-MHE-42,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-MME-41,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-PCT-36,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4261-SHB-5,17.66,17.66,17.66,11.78,17.66,17.66,17.66,17.66
4261-SPO-43,47.1,36.12,47.86,47.81,36.07,41.9,47.1,23.55
4261-SQO-44,11.78,11.78,5.89,11.78,11.78,,5.89,11.78
4261-SYY-4,17.66,17.66,17.66,17.66,11.78,17.66,17.66,17.66
4278-MLI-1,5.89,5.89,,5.89,5.89,,5.89,5.89
4278-SCT-36,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4278-SPO-43,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4286-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4286-SYY-4,5.89,5.89,5.89,5.89,5.89,5.89,,5.89
4289-MME-41,5.89,5.89,5.89,,5.89,5.89,5.89,5.89
4289-SPO-43,5.89,5.89,5.89,5.89,,5.89,5.89,5.89
4296-MNX-2,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4297-MSY-85,19.71,19.71,19.71,19.71,19.71,19.71,19.71,19.71
4301-MLI-1,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
4301-MNX-2,5.89,,5.89,5.89,5.89,5.89,5.89,5.89
4302-MLI-1,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78
4302-MMX-89,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
4302-MNX-2,11.78,11.78,11.78,5.89,5.89,11.78,11.78,11.78
4304-MTW-3,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
